Song,Album,Year,Image
"""Cold as You""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Mary's Song (Oh My My My)""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Our Song""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""The Outside""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Picture to Burn""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""A Place in This World""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Should've Said No""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Stay Beautiful""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Teardrops on My Guitar""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Tied Together with a Smile""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Tim McGraw""",Taylor Swift,2006,https://upload.wikimedia.org/wikipedia/en/1/1f/Taylor_Swift_-_Taylor_Swift.png
"""Last Christmas""",Sounds of the Season,2007,https://en.wikipedia.org/wiki/The_Taylor_Swift_Holiday_Collection#/media/File:The_Taylor_Swift_Holiday_Collection.png
"""Silent Night""",Sounds of the Season,2007,https://en.wikipedia.org/wiki/The_Taylor_Swift_Holiday_Collection#/media/File:The_Taylor_Swift_Holiday_Collection.png
"""Christmas Must Be Something More""",Sounds of the Season,2007,https://en.wikipedia.org/wiki/The_Taylor_Swift_Holiday_Collection#/media/File:The_Taylor_Swift_Holiday_Collection.png
"""Christmases When You Were Mine""",Sounds of the Season,2007,https://en.wikipedia.org/wiki/The_Taylor_Swift_Holiday_Collection#/media/File:The_Taylor_Swift_Holiday_Collection.png
"""Santa Baby""",Sounds of the Season,2007,https://en.wikipedia.org/wiki/The_Taylor_Swift_Holiday_Collection#/media/File:The_Taylor_Swift_Holiday_Collection.png
